data/trumpTweetSentimentSince2014.json,Libertarian,Green,Liberal,Conservative,date,time,source,dateTime
0.8391978145000001,0.1860195994,0.42220267650000004,0.1829162836,0.2088615298,04-03-2018,21:49:14,Twitter for iPhone,04-03-2018 21:49:14
0.8353221416000001,0.1737650633,0.47982162240000004,0.177358374,0.1690550596,04-03-2018,19:59:40,Media Studio,04-03-2018 19:59:40
0.8903760314,0.3483246565,0.1335199475,0.3043627441,0.21379268170000001,04-03-2018,19:15:42,Media Studio,04-03-2018 19:15:42
0.2870310843,0.3473251462,0.29746437070000004,0.2253675759,0.1298428774,04-03-2018,13:55:37,Twitter for iPhone,04-03-2018 13:55:37
0.914146781,0.33948233720000004,0.1027635783,0.1376232058,0.4201308787,04-03-2018,11:08:51,Twitter for iPhone,04-03-2018 11:08:51
0.097072795,0.3226483464,0.20794269440000002,0.29745218160000003,0.1719567776,04-03-2018,10:58:30,Twitter for iPhone,04-03-2018 10:58:30
0.6236010194,0.46204340460000004,0.17235969010000002,0.12931425870000002,0.236282602,04-03-2018,10:49:07,Twitter for iPhone,04-03-2018 10:49:07
0.41249433160000004,0.4926796854,0.12111651150000001,0.1144205108,0.2717832327,04-03-2018,10:34:18,Twitter for iPhone,04-03-2018 10:34:18
0.39771538970000003,0.19973187150000002,0.4079886079,0.1925573796,0.1997220963,04-03-2018,02:03:18,Twitter for iPhone,04-03-2018 02:03:18
0.2763380706,0.258736968,0.18000863490000002,0.154135257,0.4071192145,04-03-2018,00:34:48,Twitter for iPhone,04-03-2018 00:34:48
0.013672941400000001,0.1027202457,0.7358947396000001,0.0745050833,0.0868799388,04-03-2018,00:24:01,Twitter for iPhone,04-03-2018 00:24:01
0.9221498966,0.8261826634,0.056041695200000005,0.06593523920000001,0.0518403798,04-03-2018,00:12:03,Twitter for iPhone,04-03-2018 00:12:03
0.0231491085,0.4978487492,0.011497939,0.08084314320000001,0.409810245,04-03-2018,00:00:58,Twitter for iPhone,04-03-2018 00:00:58
0.5519114733,0.1804376543,0.4575150609,0.18426398930000001,0.17778339980000002,04-02-2018,16:38:29,Twitter for iPhone,04-02-2018 16:38:29
0.7980474830000001,0.1711567938,0.4153293669,0.1854670048,0.2280468494,04-02-2018,15:41:04,Twitter for iPhone,04-02-2018 15:41:04
0.4219433367,0.3061000407,0.30867415670000004,0.19497102500000002,0.19025477770000002,04-02-2018,13:58:00,Twitter for iPhone,04-02-2018 13:58:00
0.2755967677,0.5306206346,0.0783255473,0.1320744455,0.2589793205,04-02-2018,13:35:03,Twitter for iPhone,04-02-2018 13:35:03
0.681004703,0.2837106287,0.1303032935,0.2415801883,0.3444059789,04-02-2018,13:28:42,Twitter for iPhone,04-02-2018 13:28:42
0.1971196979,0.2485478371,0.0124797858,0.10131701080000001,0.6376553774,04-02-2018,13:08:47,Twitter for iPhone,04-02-2018 13:08:47
0.09765760600000001,0.5366379619,0.1253884584,0.20631098750000001,0.1316625774,04-02-2018,11:17:19,Twitter for iPhone,04-02-2018 11:17:19
0.7791780233000001,0.40853390100000003,0.1357886195,0.23153458540000002,0.22414286430000002,04-02-2018,11:10:19,Twitter for iPhone,04-02-2018 11:10:19
0.4679927826,0.4966140389,0.0249516293,0.1198923811,0.3585419059,04-02-2018,11:02:30,Twitter for iPhone,04-02-2018 11:02:30
0.6277043819,0.2805621922,0.32323330640000003,0.288895905,0.1073085964,04-01-2018,14:28:19,Twitter for iPhone,04-01-2018 14:28:19
0.39388597010000004,0.4091626108,0.0106838234,0.1429316998,0.4372218847,04-01-2018,14:25:46,Twitter for iPhone,04-01-2018 14:25:46
0.2399279326,0.3176985979,0.058426097,0.3824612498,0.2414141297,04-01-2018,13:56:34,Twitter for iPhone,04-01-2018 13:56:34
0.988489151,0.21707578,0.3588217795,0.2149357945,0.2091666609,04-01-2018,12:27:02,Twitter for iPhone,04-01-2018 12:27:02
0.6902858019,0.0805021152,0.0002993073,0.0022586701,0.9169398546,03-31-2018,12:53:01,Twitter for iPhone,03-31-2018 12:53:01
0.049405086800000005,0.6492685676000001,0.06785205750000001,0.0907258242,0.19215352830000001,03-31-2018,12:52:59,Twitter for iPhone,03-31-2018 12:52:59
0.0464987829,0.2708286345,0.2921287715,0.2399374247,0.1971051544,03-31-2018,12:45:41,Twitter for iPhone,03-31-2018 12:45:41
0.3330285847,0.21486827730000002,0.3827587068,0.1795885116,0.2227844596,03-30-2018,20:24:56,Twitter for iPhone,03-30-2018 20:24:56
0.5424546003,0.4774693847,0.2447474152,0.1284946501,0.1492885649,03-29-2018,20:06:37,Twitter for iPhone,03-29-2018 20:06:37
0.7706997991000001,0.1945496351,0.2420052737,0.19607362150000002,0.36737143990000004,03-29-2018,19:58:35,Twitter for iPhone,03-29-2018 19:58:35
0.8758559823000001,0.10628215220000001,0.6500496268,0.1591376066,0.08453063670000001,03-29-2018,19:44:06,Twitter for iPhone,03-29-2018 19:44:06
0.8673560023,0.7941607833000001,0.050073839700000004,0.0679895356,0.0877758637,03-29-2018,11:57:38,Twitter for iPhone,03-29-2018 11:57:38
0.9578794837000001,0.1717031151,0.4819405377,0.1839334518,0.1624228656,03-28-2018,21:31:54,Twitter for iPhone,03-28-2018 21:31:54
0.8940349817000001,0.16565531490000002,0.3112216592,0.2603808641,0.2627421319,03-28-2018,21:31:08,Twitter for iPhone,03-28-2018 21:31:08
0.9247205853,0.1440616548,0.5036510825,0.18090550600000002,0.1713816822,03-28-2018,19:47:02,Twitter for iPhone,03-28-2018 19:47:02
0.46492019300000004,0.3254880309,0.294964999,0.2111731321,0.1683738679,03-28-2018,16:19:02,Twitter for iPhone,03-28-2018 16:19:02
0.8584614396,0.1151307672,0.0812780038,0.6652963161000001,0.13829499480000002,03-28-2018,16:18:44,Twitter for iPhone,03-28-2018 16:18:44
0.9809033871,0.244942084,0.30418580770000003,0.2736462653,0.1772258133,03-28-2018,16:14:34,Twitter for iPhone,03-28-2018 16:14:34
0.7290705442000001,0.2740805149,0.3052981496,0.2572982609,0.16332308950000002,03-28-2018,10:16:26,Twitter for iPhone,03-28-2018 10:16:26
0.9791339040000001,0.1992912292,0.38678607340000004,0.2853770256,0.1285457015,03-28-2018,10:05:18,Twitter for iPhone,03-28-2018 10:05:18
0.47477376460000004,0.1722356677,0.3511748314,0.2687204778,0.2078690678,03-28-2018,09:52:36,Twitter for iPhone,03-28-2018 09:52:36
0.9828261137000001,0.47487962250000004,0.21020711960000002,0.1418702155,0.1730429828,03-27-2018,18:35:06,Twitter for iPad,03-27-2018 18:35:06
0.5717810392,0.5088555217,0.1174689755,0.2081231922,0.1655524373,03-27-2018,02:38:07,Twitter for iPhone,03-27-2018 02:38:07
0.9654434323000001,0.2650701702,0.4058201611,0.1775184274,0.151591152,03-27-2018,00:44:52,Twitter for iPhone,03-27-2018 00:44:52
0.8220546842,0.2017658353,0.4092749953,0.2072095573,0.1817496121,03-26-2018,20:29:19,Twitter for iPhone,03-26-2018 20:29:19
0.37454709410000003,0.1828593463,0.4232266545,0.208534047,0.18537986280000002,03-26-2018,12:38:55,Twitter for iPhone,03-26-2018 12:38:55
0.9687244296,0.2103324085,0.3658138514,0.21985428040000002,0.2039993554,03-26-2018,11:05:40,Twitter for iPhone,03-26-2018 11:05:40
